ID,Text,Comment
Building.DoubleLodge.DisplayName,Doubwe Wodge ,This lodge fits twice as many beavers
Building.DoubleLodge.FlavorDescription,the mowe the mewwiew. ,This lodge fits twice as many beavers as a standard one
Building.DoublePlatform.DisplayName,Doubwe Pwatfowm ,Double meaning twice as tall.
Building.DoublePlatform.FlavorDescription,"Doubwe the height, same twademawk stuwdiness. ",
Building.DropOffPoint.Description,Weceives goods fwom othew distwicts. ,
Building.DropOffPoint.DisplayName,Dwop-off Point ,A small building which acts as a place where beavers from other districts can bring their goods.
Building.DropOffPoint.FlavorDescription,"Have the cookies awwived yet? No? Okay, I'ww take the pwanks instead.","Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.Dynamite.Armed,Awmed! ,Dynamite is set to detonate
Building.Dynamite.BeaverDeathMessage,{0} was kiwwed by an expwosion. ,{0} stands for beaver name
Building.Dynamite.CantDetonate,"Can't detonate, it's too wow ",Message shows if dynamite is built on the lowest level of the map
Building.Dynamite.Description,Destwoys the bwock of tewwain undewneaf it and t-twiggews adjacent dynamites. ,Triggers can be changed to detonates
Building.Dynamite.Detonate,Detonate ,A button.
Building.Dynamite.DisplayName,Dynamite ,There's a resource called Explosives so they need to have different names
Building.Dynamite.FlavorDescription,"To adapt to the post-apocawyptic wowwd, beavews needed some extweme measuwes. ",
Building.EfficientMine.Description,Empwoys minews who extwact scwap metaw f-fwom undewgwound wuins. Innovative design maximizes mining speed. ,
Building.EfficientMine.DisplayName,Efficient Mine ,An extracting facility which can be placed on underground ruins.
Building.Engine.Description,Buwns fuew to cweate powew. ,
Building.Engine.DisplayName,Engine ,Not a steam engine;it might show up later as a different building
Building.Engine.FlavorDescription,"As gweat a-as this invention is, it became a spwintew in the side of beavew nations othew than Iwon T-Teeth. ","Iron Teeth is one of the playable factions, with the Engine being one of their unique buildings."
Building.ExplosivesFactory.Description,Manufactuwes expwosives fwom papew. ,Explosives and paper being resource names.
Building.ExplosivesFactory.DisplayName,E-Expwosives Factowy ,Explosives is a resource name
Building.ExplosivesFactory.FlavorDescription,As if buiwding the whowe seddlement out of wood wasn't enough. ,
Building.Farmhouse.Description,Empwoys fawmews that pwant and hawvest cwops. ,
Building.Farmhouse.DisplayName,Fawmhouse ,
Building.Farmhouse.FlavorDescription,Agwicuwtuwe became one of the piwwaws on which the beavew society stands today. ,
Building.FlameOfProgress.DisplayName,Fwame o-of P-Pwogwess ,Name of a monument
Building.FlameOfProgress.FlavorDescription,"Aftew one too m-many wooden wodges went up in smoke, beavews swowe to take cawe of the buwning issue. ",
Building.Floodgate.Description,Bwocks watew u-up to an adjustabwe height. ,
Building.Floodgate.DisplayName,Fwoodgate ,
Building.Floodgate.Height,Height: {0} ,
Building.Floodgate.Synchronize,Synchwonize wif adjacent fwoodgates ,
Building.Floodgate.FlavorDescription,No-one thought you couwd impwove on a dam untiw Ow' Kazko cweated the Fiwst Fwoodgate. ,
Building.Forester.Description,Pwants twees and bushes. ,
Building.Forester.DisplayName,Fowestew ,A building with a worker that plants trees and bushes
Building.Forester.FlavorDescription,"Bowd and beautifuw, fowestews awe the cowe of beavew society. ","Forresters are a family of central characters in ""Bold and Beautiful"", an extremely long-running American soap opera. Feel free to adapt this flavor, do not translate that literally."
Building.GathererFlag.Description,Empwoys gathewews who gathew bewwies. ,
Building.GathererFlag.FlavorDescription,"By p-pudding bewwies i-in a basket, beavews accidentawwy c-came u-up wif a tasty dessewt. ",
Building.GathererFlag.DisplayName,Gathewew Fwag ,Flag' could also be a Post or something similar as long as it is consistent with other Flags and different from Haulers Post
Building.GearWorkshop.Description,Manufactuwes geaws f-fwom pwanks. ,Gears and Planks are resources; keep consistent.
Building.GearWorkshop.DisplayName,Geaw Wowkshop ,Gear is a resource
Building.GearWorkshop.FlavorDescription,Wooden geaw's s-sowid!,"Metal Gear Solid is a famous Japanese video game series. Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Grill.Description,Gwiwws vegetabwes. ,
Building.Grill.DisplayName,Gwiww ,A place that grills
Building.Grill.FlavorDescription,"Mash 'em, boiw 'em, gwiww 'em on a non-stick p-pan!","Adapted quote from Lord of the Rings paired with a nod to an infamous Soviet-era cookbook ""500 potato dishes"". Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Gristmill.Description,Gwinds pwant maddew into fwouw. ,"Plant matter meaning different parts of plants, such as roots or flowers."
Building.Gristmill.DisplayName,Gwistmiww ,
Building.Gristmill.FlavorDescription,Wif mowe compwicated diet came the i-idea of muwti-stage food pwocessing. ,
Building.HaulingPost.Description,"Hauwews assist wowkews within a distwict i-in cawwying goods, gweatwy incweasing theiw pwoductivity. ",
Building.HaulingPost.DisplayName,Hauwing Post ,Keep different from Flag buildings since the building is of a different category than flags.
Building.HaulingPost.FlavorDescription,"the most muscuwaw o-of aww beavews, you don't w-want to step on a hauwew's t-taiw. ",
Building.IndustrialLogPile.Description,An efficient way to stowe w-wogs. ,
Building.IndustrialLogPile.DisplayName,Industwiaw W-Wog Piwe ,A place to store logs in an efficient manner
Building.IndustrialLogPile.FlavorDescription,What's beddew than a piwe? A piwe of piwes. ,"The building is an improved, stackable variant of Building.LogPile"
Building.Inventor.DisplayName,Inventow ,
Building.Inventor.FlavorDescription,"Inspiwed by the w-wegacy o-of Ow' Kazko, beavew inventows a-awe awways eagew t-to impwove theiw timbew-tech. ","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.IrrigationTower.Description,I-Iwwigates wand awound it. ,
Building.IrrigationTower.DisplayName,Iwwigation Towew ,
Building.IrrigationTower.FlavorDescription,"Wif wess than a-a thiwd of Eawf covewed in watew, iwwigation became a must. ",The game is set on Earth turned into a dry wasteland.
Building.LaborerMonument.DisplayName,Wabowew Monument ,Name of a monument
Building.LaborerMonument.FlavorDescription,"Even aftew manuaw wabow gave way to industwiawization, b-beavews' wowk ethos hasn't changed. ",
Building.LargeBarrack.DisplayName,Wawge Bawwack ,Barracks are cramped homes for beavers. Not related to soldiers. A bigger variant of Building.Barrack.
Building.LargeBarrack.FlavorDescription,What's ,Barracks are very cramped so there isn't much private space.
Building.LargeMetalPlatform.DisplayName,Wawge Metaw Pwatfowm ,
Building.LargeMetalPlatform.FlavorDescription,Fow the enthusiasts of twuwy heavy metaw. ,Heavy metal is a reference to the music genre. This building is massive and made of metal.
Building.LargeRowhouse.DisplayName,Wawge Wowhouse ,"A rowhouse is a narrow and tall house that is connected to other homes on both sides, often built in a row. Building.Rowhouse"
Building.LargeRowhouse.FlavorDescription,the Iwon Teef have devewoped a high buiwding compwex. ,Referencing 'complex' meaning a group of buildings as well as a psychological behaviour.
Building.LargeWarehouse.Description,Stowes a w-wawge amount o-of goods. ,
Building.LargeWarehouse.DisplayName,W-Wawge Wawehouse ,
Building.LargeWarehouse.FlavorDescription,"Wif s-so much goods packed inside, thewe's no woom to swing a taiw. ","""No room to swing a cat"" is an English idiom, feel free to adapt."
Building.LargeWaterTank.Description,Stowes w-watew. ,
Building.LargeWaterTank.DisplayName,Wawge Watew Tank ,
Building.LargeWaterTank.FlavorDescription,"Despite the effowts of kits that twy t-to use it as a swimming poow, t-this tank was designed to sewve industwiaw puwposes. ",
Building.LargeWaterWheel.DisplayName,W-Wawge Watew Wheew ,A water wheel that's bigger than other versions.
Building.LargeWaterWheel.Description,"A biggew, m-mowe efficient watew wheew. Suppowted fwom the side. ",
Building.LargeWindmill.Description,Biggew bwades awwow fow biggew enewgy genewation. ,
Building.LargeWindmill.DisplayName,Wawge Windmiww ,Advanced windmill that can rotate
Building.LargeWindmill.FlavorDescription,No b-beddew wind than taiwwind. ,"Tailwind being a wind blowing from behind, a pun since beavers have tails."
Building.Levee.Description,Bwocks watew compwetewy. ,
Building.Levee.DisplayName,Wevee ,Different to a Dam
Building.Levee.FlavorDescription,"Bawanced, weinfowced, and shaped to pewfection by genewations of b-beavew watew engineews, this i-is not ",
Building.Lido.Description,A pewfect pwace to wewax by a-a wivew. ,
Building.Lido.DisplayName,Wido ,Lido as in a swimming pool. Built on a river bank and used to relax. Includes a swimming area and a small land area with a few lawn chairs.
Building.Lido.FlavorDescription,that's a w-weawwy good time but we shouwd wowk on youw taiwstwoke!,"Backstroke is a swimming style, but beavers also have tails. Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.Lodge.Description,A pwace to spend the night. ,
Building.Lodge.DisplayName,Wodge ,Type of housing; named after the beaver lodges
Building.Lodge.FlavorDescription,"In the owden days a wodge was j-just that, a wodge. And now? I-I don't know about that.",
Building.LodgeMirrored.DisplayName,W-Wodge (Miwwowed) ,A symmetrical version of a Lodge with door on the other side
Building.LodgeMirrored.FlavorDescription,w-wenogN 'aM— ,"Please use the the same flavor description as Building.Lodge.FlavorDescription but in reverse. If that is a problem in your language, use the same text as Building.Lodge.FlavorDescription."
Building.LogFence.Description,A decowative fence made out of wogs. ,
Building.LogFence.DisplayName,Wog Fence ,
Building.LogPile.Description,Stowes wogs. ,Log is a resource
Building.LogPile.DisplayName,Wog Piwe ,
Building.LogPile.FlavorDescription,"Sadwy, nobody is keeping a wog of how much wood comes in and o-out. ","""Log"" pun — feel free to adapt."
Building.LumberjackFlag.Description,Empwoys a wumbewjack that cuts twees. ,
Building.LumberjackFlag.DisplayName,Wumbewjack F-Fwag ,Flag' could also be a Post or something similar as long as it is consistent with other Flags and different from Haulers Post
Building.LumberjackFlag.FlavorDescription,"they awe wumbewjacks and that's the way, they sweep aww night a-and they w-wowk aww day!","Adapted from Monthy Python's ""Lumberjack Song"""
Building.LumberMill.Description,Makes pwanks fwom wogs. ,Planks and Logs are resources so this needs to be consistent with their name
Building.LumberMill.DisplayName,Wumbew Miww ,
Building.LumberMill.FlavorDescription,"Encouwaged by Ow’ K-Kazko, mechanized wood pwocessing caused much gnashing of t-teef among owdew beavews. ","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.MechanicalWaterPump.Description,Pumps w-watew up on one side and d-dischawges it on the othew. Mowe efficient than a weguwaw pump. ,
Building.MechanicalWaterPump.DisplayName,Mechanicaw Watew Pump ,A mechanically powered water pump.
Building.MetalFence.Description,A decowative fence made out metaw. ,
Building.MetalFence.DisplayName,Metaw F-Fence ,
Building.MetalPlatform.Description,A-A gigantic pwatfowm hewd up by a stuwdy cowumn. ,
Building.MetalPlatform.DisplayName,Metaw Pwatfowm ,
Building.Mine.Description,Empwoys m-minews who extwact scwap metaw fwom undewgwound wuins. ,
Building.Mine.DisplayName,Mine ,An extracting facility which can be placed on underground ruins.
Building.Mine.FlavorDescription,No such thing as dewving too gweediwy and too deep. ,"The mine provides an endless supply of scrap metal. Reference to 'they delved too greedily and too deep, and disturbed that from which they fled, Durin's Bane' from LOTR"
Building.MiniLodge.Description,A-A smaww wodge that fits a singwe beavew. ,
Building.MiniLodge.DisplayName,Mini Wodge ,A small lodge for only one beaver
Building.MiniLodge.FlavorDescription,"One is okay, too. ",Referencing 'Two Beavers Are Better Than One' meme-song from 'How I Met Your Mother' TV show.
Building.MechanicalWaterPump.FlavorDescription,Beddew wunning watew than wunning wif buckets. ,Running water meaning water that is moving.
Building.MudBath.Description,A mud baf mechanicawwy infused wif bubbwes. ,
Building.MudBath.DisplayName,Mud Baf ,"A mud bath infused with bubbles, basically a jacuzzi but that word is too human."
Building.MudBath.FlavorDescription,Whewe awe the bubbwes coming fwom? ,Fart joke but it's easy to see it as bubbles all appear in the middle of the bath where the visitors' tails are directed.
Building.Observatory.Description,"B-By expwowing the s-staws, beavews g-gain mowe k-knowwedge about t-the wowwd they wive in. ",A building where beavers look into the space using telescopes
Building.Observatory.DisplayName,Obsewvatowy ,A building where beavers look into the space using telescopes
Building.Observatory.FlavorDescription,the wogicaw next step aftew stawgazing at the campfiwe. ,
Building.PaperMill.Description,Efficient m-mechanized papew factowy. ,Paper is a resource.
Building.PaperMill.DisplayName,Papew Miww ,
Building.PaperMill.FlavorDescription,"What owiginated as a dwied snack fow scavengews, q-quickwy found muwtipwe othew uses. ",
Building.Path.Description,Buiwdings must be c-connected by paths. ,
Building.Path.DisplayName,P-Paf ,
Building.Path.FlavorDescription,"Countwy woads, take me home, to t-the wodge I-I bewong.","Adapted from ""Take Me Home, Country Roads"" by John Denver"
Building.PlankFence.Description,A decowative fence made out of p-pwanks. ,
Building.PlankFence.DisplayName,Pwank Fence ,
Building.Platform.Description,A waised pwatfowm w-which can act as a-a bwidge o-ow a foundation fow othew buiwdings. ,
Building.Platform.DisplayName,Pwatfowm ,
Building.Platform.FlavorDescription,Impwessive woad cawwying capacity of beavew pwatfowms makes them mastewpieces of engineewing. ,
Building.PowerShaft.Description,T-Twansfews powew. ,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.PowerShaft.FlavorDescription,One o-of t-the gwand inventions of Ow' Kazko. ,"Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.PowerShaftHigh.DisplayName,H-High Powew Shaft ,For ease of translation could also be called an axle
Building.PowerShaftIntersection.DisplayName,Powew Shaft Intewsection ,For ease of translation could also be called an axle
Building.PowerShaftStraight.DisplayName,Stwaight Powew Shaft ,For ease of translation could also be called an axle
Building.PowerShaftTIntersection.DisplayName,Powew Shaft t Intewsection ,For ease of translation could also be called an axle. A three-way junction of power shafts.
Building.PowerShaftTurn.DisplayName,P-Powew Shaft T-Tuwn ,For ease of translation could also be called an axle
Building.PowerWheel.Description,A beavew-opewated backup souwce of powew. ,
Building.PowerWheel.DisplayName,Powew Wheew ,Meaning a wheel that produces power
Building.PowerWheel.FlavorDescription,Beavews quickwy weawized they couwd bowwow some techniques fwom wess advanced wodents. ,This building looks like a hamster wheel.
Building.PrintingPress.Description,Pwints books using papew. ,Book and Paper are resources.
Building.PrintingPress.DisplayName,P-Pwinting Pwess ,
Building.PrintingPress.FlavorDescription,"Usuawwy, beavews c-consume e-each page wight aftew weading, so good witewatuwe is awways in demand. ",
Building.Roof.FlavorDescription,A fanciew woof is often enough to fuew a fwiendwy neighbouwhood wivawwy. ,
Building.Roof1x1.DisplayName,Woof 1x1 ,Numbers at the end denote size X by Y
Building.Roof1x2.DisplayName,Woof 1x2 ,Numbers at the end denote size X by Y
Building.Roof2x2.DisplayName,Woof 2x2 ,Numbers at the end denote size X by Y
Building.Roof2x3.DisplayName,Woof 2x3 ,Numbers at the end denote size X by Y
Building.Roof3x2.DisplayName,Woof 3x2 ,Numbers at the end denote size X by Y
Building.RooftopTerrace.Description,A pwace fow beavews to wewax and sociawize in the evening. ,
Building.RooftopTerrace.DisplayName,Wooftop Tewwace ,
Building.RooftopTerrace.FlavorDescription,"A gweat pwace to t-tawk the night away, and what a view! ",
Building.Rowhouse.Description,"Pwacticaw, shawed housing wif a smaww footpwint. ",
Building.Rowhouse.DisplayName,W-Wowhouse ,"A rowhouse is a narrow and tall house that is connected to other homes on both sides, often built in a row."
Building.Rowhouse.FlavorDescription,B-Beddew wows than buwwows. ,
Building.Ruins.Description,Souwce of metaw. ,Metal is a resource
Building.Ruins.DisplayName,Wuins ,
Building.Ruins.FlavorDescription,"Scaddewed thwoughout the wand, decwepit human wuins pwovided beavews wif the unimaginabwe – a wesouwce supewiow to wood. ",
Building.Scarecrow.Description,A fiewd decowation meant to scawe biwds. ,
Building.Scarecrow.DisplayName,Scawecwow ,
Building.Scarecrow.FlavorDescription,O-Outstanding in theiw fiewd. ,
Building.ScavengerFlag.Description,Scavengews cowwect scwap metaw fwom wuins. ,Metal is a resource;ruins are a building
Building.ScavengerFlag.DisplayName,Scavengew Fwag ,
Building.ScavengerFlag.FlavorDescription,"Bwinging metaw to twaditionawwy wooden seddlements, scavengews eawn wespect fwom some and disdain fwom othews. ",
Building.Shredder.Description,Shweds scwap metaw and compwesses it into bwocks. ,
Building.Shredder.DisplayName,Shweddew ,
Building.Shredder.FlavorDescription,A human's twash is a b-beavew's tweasuwe. ,"Adapted from ""One man’s trash is another man’s treasure"""
Building.Shrine.Description,A smaww shwine whewe beavews can contempwate natuwe. ,
Building.Shrine.DisplayName,Shwine ,
Building.Shrine.FlavorDescription,"Pwaise the sun, too, just not too much. ","Dark Souls reference, beavers should be thankful for the sun as it allows their crops to grow etc., but in excess, it also leads to the droughts."
Building.Shrub.DisplayName,Shwub ,Must be different than 'Bush' which is a plant in the game
Building.Shrub.FlavorDescription,"Advocates fow aww things pwacticaw, beavews wike t-theiw decowations bof pweddy and tasty. ",
Building.Slope.DisplayName,Swope ,
Building.Slope.FlavorDescription,"Whoevew put it h-hewe, b-beavews awe gwatefuw. ",
Building.SmallWarehouse.Description,Stowes goods. ,
Building.SmallWarehouse.DisplayName,Smaww Wawehouse ,
Building.SmallWarehouse.FlavorDescription,"Wif aww the hazawds o-of p-post-apocawyptic wowwd, pwopew stowage of goods is cwuciaw. ",
Building.SmallWaterTank.Description,S-Stowes a smaww amount o-of w-watew. ,
Building.SmallWaterTank.DisplayName,Smaww Watew Tank ,
Building.SmallWaterTank.FlavorDescription,Weawning how to save evewy dwop of watew hewped beavews a-adapt to the hawsh enviwonment. ,
Building.Smelter.DisplayName,Smewtew ,A facility that uses very high temperature to produce metal blocks from iron ore.
Building.Smelter.FlavorDescription,t-the new beavew wowwd is fowged in sweat and smeww of buwnt fuw. ,
Building.StartingLocation.DisplayName,S-Stawting Wocation ,
Building.StreamGauge.Description,Measuwes the depf a-and fwow of watew. ,
Building.StreamGauge.DisplayName,Stweam Gauge ,
