ID,Text,Comment
Building.Barrack.FlavorDescription,"""Two Fowktaiws wawk into a bawwack."" —Iwon Teeth joke","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.Barrier.Description,A natuwaw bawwiew bwocking watew. Can be demyowished.,Demolished meaning removed by a worker.
Building.Barrier.DisplayName,Bawwiew,Not a dam since that's another building in game but if not possible it could be called a Natural Dam.
Building.Barrier.FlavorDescription,It's hawd to bewieve thewe wewe simpwew times when mud with bwanches constituted a dam.,
Building.BeaverStatue.Description.Folktails,"A statue of a weww-fed beavew.",
Building.BeaverStatue.Description.IronTeeth,"A statue of a hawd-wowking beavew.",
Building.BeaverStatue.DisplayName,Beavew Statue,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,"Making you pwoud in the good yeaws and hungwy in the bad.","The statue shows a beaver with a full belly so it can make one hungry when looking at it."
Building.BeaverStatue.FlavorDescription.IronTeeth,"A design with a sickwe was deemed too Fowktaiws-wike.","This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName)."
Building.Beehive.Description,Boosts the gwowth of neawby cwops.,
Building.Beehive.DisplayName,Beehive,
Building.Beehive.FlavorDescription,"""You get used to the buzzing eventuawwy.""  —Ma' Ngonew","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bench.DisplayName,Bench,
Building.Bench.FlavorDescription,"Evewy nyow and then, some vandaw wiww eat on the pubwic pwopewty.",
Building.Bell.Description,"It wings at the beginning and the end of a wowkday.","This is a large metal bell that rings twice a day."
Building.Bell.DisplayName,Beww,"A large metal bell"
Building.Bell.FlavorDescription,"""It's the myowning winging you shouwd be wooking fowwawd to."" —Ow' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BotAssembler.Description,"Assembwes autonyomyous bots, who can assist beavews in theiw evewyday tasks.",Bots should be the same as Bot.PluralDisplayName
Building.BotAssembler.DisplayName,Bot Assembwew,A factory for assembling bots. Bot should be the same as Bot.PrefabName
Building.BotAssembler.FlavorDescription,"It aww stawted with a simpwe ""what if I didn't have to wowk today"". —Pina",
Building.BotPartFactory.Description,Puts togethew bot components.,Bot should be the same as Bot.PrefabName
Building.BotPartFactory.DisplayName,Bot Pawt Factowy,"A factory for creating bot parts, that are later assembled into full bots. Bot should be the same as Bot.PrefabName."
Building.BotPartFactory.FlavorDescription,"""Done! Wait, what is this scwew doing hewe?"" —Pina",
Building.BreedingPod.Description,"The Iwon Teeth's pwefewwed, and onwy, way to wepwoduce.",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Bweeding Pod,
Building.BreedingPod.FlavorDescription,"""Kits awe ouw futuwe. We need twewve myowe by next myonth."" —Ow' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,Empwoys additionaw buiwdews.,
Building.BuildersHut.DisplayName,Buiwdews' Hut,
Building.BuildersHut.FlavorDescription,Beavewome wasn't buiwt in a day. Wegend says it was six houws.,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timber-tech for the greater good of all beavers.
Building.Campfire.Description,A pwace fow beavews to wewax and sociawize in the evening.,
Building.Campfire.DisplayName,Campfiwe,
Building.Campfire.FlavorDescription,"Sometimes, fiwe and wood awe a good match.",
Building.Carousel.Description,A wooden mewwy-go-wound fow beavews of aww ages.,
Building.Carousel.DisplayName,Cawousew,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"""Whewe do you think you'we going, kit? These bwanches won't peew themsewves."" —Ma' Ngonew","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.ChargingStation.Description,A pwace whewe bots come to wechawge.,Bots should be the same as Bot.PluralDisplayName
Building.ChargingStation.DisplayName,Chawging Station,A mechanically powered building where bots come to recharge
Building.ChargingStation.FlavorDescription,Do nyot use with nyon-Iwonbot devices.,"Referring the annoying ""a different connector for each device"" trend in IT. Ironbot must be the same as Bot.DisplayName.IronTeeth"
Building.CompactWaterWheel.DisplayName,Compact Watew Wheew,"A water wheel that's smaller than other versions."
Building.CompactWaterWheel.Description,"A compact genewatow twansfowming fwow of watew into enewgy.",
Building.CompactWaterWheel.FlavorDescription,"Yes, you can weinvent the watew wheew.","A play on 'can't reinvent the wheel'"
Building.ControlTower.Description,A taww stwuctuwe that sends out a signaw to neawby bots to boost theiw pewfowmance.,Bots should be the same as Bot.PluralDisplayName
Building.ControlTower.DisplayName,Contwow Towew,A building that emits a signal to nearby bots
Building.ControlTower.FlavorDescription,A bot must obey owdews given it by beavew beings except whewe beavews awe nyo myowe.,"A loose adaptation of Asimov's second law of robotics (and a hint at the ""sentient AI"" scenario). Bot must be the same as Bot.PrefabName."
Building.Dam.Description,Bwocks watew but awwows some to pass thwough a spiwwway at the top.,Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Dam,
Building.Dam.FlavorDescription,"As evewyone knyows, a civiwization's fundaments awe buiwt undewwatew.",
Building.DeepMechanicalWaterPump.DisplayName,Deep Mechanicaw Watew Pump,
Building.DeepWaterPump.Description,Pumps and fiwtews watew fow beavews to dwink.,
Building.DeepWaterPump.DisplayName,Deep Watew Pump,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"""The watew comes fwom the wand down undew, whewe cattaiws gwow and beavew's a pwumbew."" –Iwon Teeth wowk song","Adapted from Men at Work's famous 'Down Under' song ; Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.DevBattery.DisplayName,Dev Battewy,A battery available only for the game developers
Building.DirtExcavator.Description,A heavy duty mining wig fow cowwecting diwt.,Dirt must the same as Good.Dirt.DisplayName
Building.DirtExcavator.DisplayName,Diwt Excavatow,"A machine used to gather dirt, leaving a giant hole. Dirt must be the same as Good.Dirt.DisplayName."
Building.DirtExcavator.FlavorDescription,"This is nyot a dwiww!","It's literally not a drill. It's a different kind of mining equipment. ;)"
Building.DistributionPost.Description,Distwibutes goods to othew distwicts.,
Building.DistributionPost.DisplayName,Distwibution Post,A building which employs beavers who deliver goods to other districts.
Building.DistributionPost.FlavorDescription,"""Send some potatoes to the twewfth distwict, theiw kits awe too thin."" —Ma' Ngonew","""Hunger Games"" reference - 12th district was a poor district which Katniss Everdeen originated from."
Building.DistrictCenter.Description,"Estabwishes a distwict with its own popuwation, wesouwces and an isowated path netwowk. Empwoys buiwdews.",
Building.DistrictCenter.DisplayName,Distwict Centew,
Building.DistrictCenter.FlavorDescription.Folktails,"""Comfowt, food, and stuwdy wood."" —Fowktaiws myotto",The motto must be the same as in Faction.Folktails.Description
Building.DistrictCenter.FlavorDescription.IronTeeth,"""Wowk hawd, wowk hawd."" —Iwon Teeth myotto",The motto must be the same as in Faction.IronTeeth.Description
Building.DistrictGate.Description,Sepawates distwicts.,
Building.DistrictGate.DisplayName,Distwict Gate,"A gate which is placed between two districts, looks similar to Chinatown gates."
Building.DistrictGate.FlavorDescription,You must gathew youw suppwies befowe ventuwing fowth.,"This is an adapted famous line from Baldur's Gate (""You must gather your party before venturing forth"")."
Building.DoubleFloodgate.DisplayName,Doubwe Fwoodgate,
Building.DoubleFloodgate.FlavorDescription,How do you impwove upon pewfection? You make it tawwew.,
Building.DoubleLodge.Description,A biggew wodge that fits myowe beavews.,
Building.DoubleLodge.DisplayName,Doubwe Wodge,This lodge fits twice as many beavers
Building.DoubleLodge.FlavorDescription,"The myowe the mewwiew.","This lodge fits twice as many beavers as a standard one"
Building.DoublePlatform.DisplayName,Doubwe Pwatfowm,Double meaning twice as tall.
Building.DoublePlatform.FlavorDescription,"Doubwe the height, same twademawk stuwdiness.",
Building.DoubleShower.DisplayName,Doubwe Showew,A version of Building.Shower.DisplayName that can be used by two beavers at the same time
Building.DoubleShower.FlavorDescription,"""I wiked my yestewday's showew buddy bettew."" —Pina",
Building.DropOffPoint.Description,Weceives goods fwom othew distwicts.,
Building.DropOffPoint.DisplayName,Dwop-off Point,A small building which acts as a place where beavers from other districts can bring their goods.
Building.DropOffPoint.FlavorDescription,"""Have the cookies awwived yet? Nyo? Okay, I'ww take the pwanks instead."" —Pina","Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.Dynamite.Armed,Awmed!,Dynamite is set to detonate
Building.Dynamite.BeaverDeathMessage,{0} was kiwwed by an expwosion.,{0} stands for beaver name
Building.Dynamite.CantDetonate,"Can't detonate, it's too wow",Message shows if dynamite is built on the lowest level of the map
Building.Dynamite.Description,Destwoys the bwock of tewwain undewneath it and twiggews adjacent dynamites.,Triggers can be changed to detonates
Building.Dynamite.Detonate,Detonate,A button.
Building.Dynamite.DisplayName,Dynamite,There's a resource called Explosives so they need to have different names
Building.Dynamite.FlavorDescription,"To adapt to the post-apocawyptic wowwd, beavews needed some extweme measuwes.",
Building.EfficientMine.Description,"Empwoys minews who extwact scwap metaw fwom undewgwound wuins. Innyovative design maximizes mining speed.",
Building.EfficientMine.DisplayName,Efficient Mine,"An extracting facility which can be placed on underground ruins."
Building.Engine.Description,Buwns fuew to cweate powew.,
Building.Engine.DisplayName,Engine,Not a steam engine;it might show up later as a different building
Building.Engine.FlavorDescription,"As gweat as this invention is, it became a spwintew in the side of beavew nations othew than Iwon Teeth.","Iron Teeth is one of the playable factions, with the Engine being one of their unique buildings."
Building.ExplosivesFactory.Description,Manufactuwes expwosives fwom papew.,Explosives and paper being resource names.
Building.ExplosivesFactory.DisplayName,Expwosives Factowy,Explosives is a resource name
Building.ExplosivesFactory.FlavorDescription,As if buiwding the whowe settwement out of wood wasn't enyough.,
Building.Farmhouse.Description,Empwoys fawmews that pwant and hawvest cwops.,
Building.Farmhouse.DisplayName,Fawmhouse,
Building.Farmhouse.FlavorDescription,Agwicuwtuwe became one of the piwwaws on which the beavew society stands today.,
Building.FlameOfProgress.DisplayName,Fwame of Pwogwess,Name of a monument
Building.FlameOfProgress.FlavorDescription,"Aftew one too many wooden wodges went up in smyoke, beavews swowe to take cawe of the buwning issue.",
Building.Floodgate.Description,Bwocks watew up to an adjustabwe height.,
Building.Floodgate.DisplayName,Fwoodgate,
Building.Floodgate.Height,Height: {0},
Building.Floodgate.Synchronize,Synchwonize with adjacent fwoodgates,
Building.Floodgate.FlavorDescription,Nyo-one thought you couwd impwove on a dam untiw Ow' Kazko cweated The Fiwst Fwoodgate.,
Building.Forester.Description,Pwants twees and bushes.,
Building.Forester.DisplayName,Fowestew,A building with a worker that plants trees and bushes
Building.Forester.FlavorDescription,"Bowd and beautifuw, fowestews awe the cowe of beavew society.","Forresters are a family of central characters in ""Bold and Beautiful"", an extremely long-running American soap opera. Feel free to adapt this flavor, do not translate that literally."
Building.GathererFlag.Description,Gathews wesouwces fwom wiwd pwants.,
Building.GathererFlag.DisplayName,Gathewew Fwag,Flag' could also be a Post or something similar as long as it is consistent with other Flags and different from Haulers Post
Building.GathererFlag.FlavorDescription,"By putting bewwies in a basket, beavews accidentawwy came up with a tasty dessewt.",
Building.GearWorkshop.Description,Manufactuwes geaws fwom pwanks.,Gears and Planks are resources; keep consistent.
Building.GearWorkshop.DisplayName,Geaw Wowkshop,Gear is a resource
Building.GearWorkshop.FlavorDescription,"""Wooden geaw's sowid!"" was a catchphwase coined by Ow' Kazko as he pushed fow wapid industwiawization.","Metal Gear Solid is a famous Japanese video game series. Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.GravityBattery.Description,"It stowes enewgy suwpwus and gives it back when its netwowk is undewpowewed. The highew it is buiwt, the myowe enewgy it can stowe.",
Building.GravityBattery.DisplayName,Gwavity Battewy,"A battery in the form of a crane, that stores energy by raising a heavy weight above the ground."
Building.GravityBattery.FlavorDescription,"Hewe's what you can do when you invent youw own waws of physics.","Gravity batteries in the real world do not make sense from the physics standpoint."
Building.Grill.Description,"Gwiwws vegetabwes.",
Building.Grill.DisplayName,Gwiww,A place that grills
Building.Grill.FlavorDescription,"""Mash 'em, boiw 'em, gwiww 'em on a nyon-stick pan!"" —""500 Ways to Eat a Potato"" by Ma' Ngonew","Adapted quote from Lord of the Rings paired with a nod to an infamous Soviet-era cookbook ""500 potato dishes"". Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Gristmill.Description,"Gwinds pwant mattew into fwouw.","Plant matter meaning different parts of plants, such as roots or flowers."
Building.Gristmill.DisplayName,Gwistmiww,
Building.Gristmill.FlavorDescription,With myowe compwicated diet came the idea of muwti-stage food pwocessing.,
Building.HaulingPost.Description,"Hauwews assist wowkews within a distwict in cawwying goods, gweatwy incweasing theiw pwoductivity.",
Building.HaulingPost.DisplayName,Hauwing Post,Keep different from Flag buildings since the building is of a different category than flags.
Building.HaulingPost.FlavorDescription,"The myost muscuwaw of aww beavews, you don't want to step on a hauwew's taiw.",
Building.Healer.Description,Makes medicine and distwibutes it to Medicaw Beds.,"Medical bed should be the same as Building.MedicalBed, Medicine as Good.Medicine"
Building.Healer.DisplayName,Heawew,A building that serves as medicine factory and distribution center. It doesn't heal beavers inside. 
Building.Healer.FlavorDescription,"The bwewing appawatus is used stwictwy fow medicaw puwposes.",This building kind of resembles an alcohol brewery.
Building.Inventor.DisplayName,Inventow,
Building.Inventor.FlavorDescription,"Inspiwed by the wegacy of Ow' Kazko, beavew inventows awe awways eagew to impwove theiw timbew-tech.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.IrrigationTower.Description,Iwwigates wand awound it.,
Building.IrrigationTower.DisplayName,Iwwigation Towew,
Building.IrrigationTower.FlavorDescription,"With wess than a thiwd of Eawth covewed in watew, iwwigation became a must.",The game is set on Earth turned into a dry wasteland.
Building.LaborerMonument.DisplayName,Wabowew Myonument,Name of a monument
Building.LaborerMonument.FlavorDescription,"Even aftew manuaw wabow gave way to industwiawization, beavews' wowk ethos hasn't changed.",
Building.LargeBarrack.DisplayName,Wawge Bawwack,Barracks are cramped homes for beavers. Not related to soldiers. A bigger variant of Building.Barrack.
Building.LargeBarrack.FlavorDescription,"What's ""pwivacy""?","Barracks are very cramped so there isn't much private space."
Building.LargeIndustrialPile.DisplayName,Wawge Industwiaw Piwe,
Building.LargeIndustrialPile.FlavorDescription,What's bettew than a piwe? A piwe of piwes.,"The building is an improved, stackable variant of Building.LargePile"
Building.LargeMetalPlatform.DisplayName,Wawge Metaw Pwatfowm,
Building.LargeMetalPlatform.FlavorDescription,"Fow the enthusiasts of twuwy heavy metaw.","Heavy metal is a reference to the music genre. This building is massive and made of metal."
Building.LargePile.DisplayName,Wawge Piwe,
Building.LargePile.FlavorDescription,"Sadwy, nyobody is keeping a wog of how much wood comes in and out.","""Log"" pun — feel free to adapt."
Building.LargeRowhouse.DisplayName,Wawge Wowhouse,"A rowhouse is a narrow and tall house that is connected to other homes on both sides, often built in a row. Building.Rowhouse"
Building.LargeRowhouse.FlavorDescription,"The Iwon Teeth have devewoped a high buiwding compwex.","Referencing 'complex' meaning a group of buildings as well as a psychological behaviour."
Building.LargeTank.DisplayName,Wawge Tank,
Building.LargeTank.FlavorDescription,"Despite the effowts of kits that twy to use it as a swimming poow, this tank was designed to sewve industwiaw puwposes.",
Building.LargeWarehouse.DisplayName,Wawge Wawehouse,
Building.LargeWarehouse.FlavorDescription,"With so much goods packed inside, thewe's nyo woom to swing a taiw.","""No room to swing a cat"" is an English idiom, feel free to adapt."
Building.LargeWaterWheel.DisplayName,Wawge Watew Wheew,"A water wheel that's bigger than other versions."
Building.LargeWaterWheel.Description,"A biggew, myowe efficient watew wheew. Suppowted fwom the side.",
Building.LargeWindmill.Description,Biggew bwades awwow fow biggew enewgy genewation.,
Building.LargeWindmill.DisplayName,Wawge Windmiww,Advanced windmill that can rotate
Building.LargeWindmill.FlavorDescription,Nyo bettew wind than taiwwind.,"Tailwind being a wind blowing from behind, a pun since beavers have tails."
Building.Levee.Description,Bwocks watew compwetewy.,
Building.Levee.DisplayName,Wevee,Different to a Dam
Building.Levee.FlavorDescription,"Bawanced, weinfowced, and shaped to pewfection by genewations of beavew watew engineews, this is nyot ""just a bwock of wood"".",
Building.Lido.Description,"A pewfect pwace to wewax by a wivew.",
Building.Lido.DisplayName,Wido,"Lido as in a swimming pool. Built on a river bank and used to relax. Includes a swimming area and a small land area with a few lawn chairs."
Building.Lido.FlavorDescription,"""That's a weawwy good time but we shouwd wowk on youw taiwstwoke!"" —Pina","Backstroke is a swimming style, but beavers also have tails. Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.Lodge.Description,A pwace to spend the night.,
Building.Lodge.DisplayName,Wodge,Type of housing; named after the beaver lodges
Building.Lodge.FlavorDescription,"""In the owden days a wodge was just that, a wodge. And nyow? I don't knyow about that."" —Ma' Ngonew",
Building.LodgeMirrored.DisplayName,Wodge (Miwwowed),A symmetrical version of a Lodge with door on the other side
Building.LodgeMirrored.FlavorDescription,"wenyogN 'aM— "".taht tuoba wonk t'nyod I ?won dnA .egdow a ,taht tsuj saw egdow a syad nedwo eht nI""","Please use the the same flavor description as Building.Lodge.FlavorDescription but in reverse. If that is a problem in your language, use the same text as Building.Lodge.FlavorDescription."
Building.LogFence.Description,A decowative fence made out of wogs.,
Building.LogFence.DisplayName,Wog Fence,
Building.LumberjackFlag.Description,Empwoys a wumbewjack that cuts twees.,
Building.LumberjackFlag.DisplayName,Wumbewjack Fwag,Flag' could also be a Post or something similar as long as it is consistent with other Flags and different from Haulers Post
Building.LumberjackFlag.FlavorDescription,"""They awe wumbewjacks and that's the way, they sweep aww night and they wowk aww day!"" —Popuwaw beavew song","Adapted from Monthy Python's ""Lumberjack Song"""
Building.LumberMill.Description,Makes pwanks fwom wogs.,Planks and Logs are resources so this needs to be consistent with their name
Building.LumberMill.DisplayName,Wumbew Miww,
Building.LumberMill.FlavorDescription,"Encouwaged by Ow’ Kazko, mechanized wood pwocessing caused much gnashing of teeth amyong owdew beavews.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.MechanicalWaterPump.Description,"Pumps watew up on one side and dischawges it on the othew. Myowe efficient than a weguwaw pump.",
Building.MechanicalWaterPump.DisplayName,Mechanicaw Watew Pump,"A mechanically powered water pump."
Building.MedicalBed.Description,A spot whewe sick beavews come to west. Pewfowms bettew when suppwied with Medicine by a Heawew.,"Medicine should be the same as Good.Medicine, Healer as Building.Healer.DisplayName, keep consistent"
Building.MedicalBed.DisplayName,Medicaw Bed,A place where injured/sick beavers come to lie down and rest
Building.MedicalBed.FlavorDescription,"""Tis but a scwatch. May I go back to wowk?"" —Pina",Monty Python reference.
Building.MediumTank.DisplayName,Medium Tank,
Building.MediumTank.FlavorDescription,"Aftew The Gweat Dwought, beavews made it a wuwe to awways have a few of these awound.",The Great Drought should remain capitalized to indicate it's a name of an event.
Building.MediumWarehouse.DisplayName,Medium Wawehouse,
Building.MediumWarehouse.FlavorDescription,"With aww the hazawds of a post-apocawyptic wowwd, pwopew stowage of goods is cwuciaw.",
Building.MetalFence.Description,A decowative fence made out metaw.,
Building.MetalFence.DisplayName,Metaw Fence,
Building.MetalPlatform.Description,A gigantic pwatfowm hewd up by a stuwdy cowumn.,
Building.MetalPlatform.DisplayName,Metaw Pwatfowm,
Building.Mine.Description,"Empwoys minews who extwact scwap metaw fwom undewgwound wuins.",
Building.Mine.DisplayName,Mine,"An extracting facility which can be placed on underground ruins."
Building.Mine.FlavorDescription,"Nyo such thing as dewving too gweediwy and too deep.","The mine provides an endless supply of scrap metal. Reference to 'they delved too greedily and too deep, and disturbed that from which they fled, Durin's Bane' from LOTR"
Building.MiniLodge.Description,A smaww wodge that fits a singwe beavew.,
Building.MiniLodge.DisplayName,Mini Wodge,A small lodge for only one beaver
Building.MiniLodge.FlavorDescription,"One is okay, too.","Referencing 'Two Beavers Are Better Than One' meme-song from 'How I Met Your Mother' TV show."
Building.MechanicalWaterPump.FlavorDescription,"Bettew wunning watew than wunning with buckets.","Running water meaning water that is moving."
Building.MudBath.Description,"A mud bath mechanicawwy infused with bubbwes.",
Building.MudBath.DisplayName,Mud Bath,"A mud bath infused with bubbles, basically a jacuzzi but that word is too human."
Building.MudBath.FlavorDescription,"Whewe awe the bubbwes coming fwom?","Fart joke but it's easy to see it as bubbles all appear in the middle of the bath where the visitors' tails are directed."
Building.Numbercruncher.Description,"A compwicated machine that sowves cawcuwations without beavews opewating it.","This machine is a primitive computer."
Building.Numbercruncher.DisplayName,Numbewcwunchew,"A machine that's a primitive computer. It generates science points by performing research."
Building.Numbercruncher.FlavorDescription,"Faw supewiow to the nyow wetiwed Digitchewew.","Suggests that beavers - just like hoomans - create new generations of ""computers"" and retire old ones."
